Volatility 3 Framework 2.26.2

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output
0x9b9322dec740	26895	26895	2	kworker/0:3	0	0	0	0	2025-12-27 21:47:53.160444 UTC	Disabled
0x9b92b979c740	27576	27576	20288	sleep	0	0	0	0	2025-12-27 21:49:01.981694 UTC	Disabled
0x9b929c862f80	27582	27582	26332	sudo	0	0	0	0	2025-12-27 21:49:03.322490 UTC	Disabled
0x9b92a291c740	27583	27583	27582	insmod	0	0	0	0	2025-12-27 21:49:03.326186 UTC	Disabled
0x9b92b946df00	27586	27586	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.931787 UTC	Disabled
0x9b92b94697c0	27587	27587	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.958646 UTC	Disabled
0x9b92b946c740	27588	27588	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.961531 UTC	Disabled
0x9b92b946af80	27589	27589	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.961828 UTC	Disabled
0x9b92b9468000	27590	27590	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.962328 UTC	Disabled
0x9b932b5bdf00	27591	27591	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.962771 UTC	Disabled
0x9b932b5baf80	27592	27592	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.963052 UTC	Disabled
0x9b932b5b8000	27593	27593	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.963454 UTC	Disabled
0x9b932b5bc740	27594	27594	553	systemd-udevd	0	0	0	0	2025-12-27 21:49:06.963810 UTC	Disabled
